original_id,country_name,country_code,map_coordinates,url,region_name,region_code,Description,Project Name
14,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",California Affordable Housing and Sustainable Communities,"California Affordable Housing and Sustainable Communities

This dataset includes all Affordable Housing and Sustainable Communities Awards. This includes the location of the awards, the award amounts, award amounts for each Project..."
15,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",i17 California Jurisdictional Dams,"i17 California Jurisdictional Dams

This dataset is a feature class identifying all dams currently under the jurisdiction of the Division of Safety of Dams (DSOD). The dataset is extracted from DSOD internal..."
16,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Proposition 1 and 68 Watershed and Delta Awards [ds2663],"Proposition 1 and 68 Watershed and Delta Awards [ds2663]

PROPOSITION 1 GRANTSThe Water Quality, Supply, and Infrastructure Improvement Act of 2014 (Proposition 1) provides funding to implement the three broad objectives of the..."
17,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Utility Natural Gas Capacity and Generation by Jurisdiction and County: 2022,"Utility Natural Gas Capacity and Generation by Jurisdiction and County: 2022

Power plant capacity data and map are from the California Energy Commission. The CEC licenses thermal power plants 50 megawatts (MW) and greater and the infrastructure serving..."
18,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Utility Natural Gas Capacity and Generation by Jurisdiction and County: 2021,"Utility Natural Gas Capacity and Generation by Jurisdiction and County: 2021

Power plant capacity data and map are from the California Energy Commission. The CEC licenses thermal power plants 50 megawatts (MW) and greater and the infrastructure serving..."
19,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Drinking Water - SAFER Dashboard Failing and At-Risk Drinking Water Systems,"Drinking Water - SAFER Dashboard Failing and At-Risk Drinking Water Systems

The Division of Drinking Water (DDW) identifies Failing and At-Risk community water systems and K-12 non-transient, non-community schools. This information is displayed online..."
20,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Energy Conservation Assistance Act (ECAA),"Energy Conservation Assistance Act (ECAA)

The California Energy Commissionâ€™s Energy Conservation Assistance Act (ECAA), authorized by the California Public Resources Code Section 25410, et seq., established the State..."
21,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Solar Footprints in California,"Solar Footprints in California

Solar Footprints in California
This GIS dataset consists of polygons that represent the footprints of solar powered electric generation facilities and related infrastructure in..."
22,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",National Hydrography Data - NHD and 3DHP,"National Hydrography Data - NHD and 3DHP

The USGS National Hydrography Dataset (NHD) Downloadable Data Collection from The National Map (TNM) is a comprehensive set of digital spatial data that encodes information..."
23,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)","Mule Deer Migration Corridors - Modoc Interstate CA and OR - 1999-2001, 2017-...","Mule Deer Migration Corridors - Modoc Interstate CA and OR - 1999-2001, 2017-...

The project leads for the collection of this data were Julie Garcia and Richard Shinn. Female mule deer were captured in February 2017 and equipped with satellite collars..."
24,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Drinking Water - Public Water System Annually Reported Water Production and D...,"Drinking Water - Public Water System Annually Reported Water Production and D...

Public Water Systems (PWS) submit their annual inventory information using the Electronic Annual Report (EAR) submission process on the Drinking Water Information Clearinghouse..."
25,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Mule Deer Migration Corridors - Upper San Joaquin River Watershed - 2013-2016...,"Mule Deer Migration Corridors - Upper San Joaquin River Watershed - 2013-2016...

The raw dataset consisted of GPS way points collected from Advanced Telemetry Solutions (ATS) Iridium LITE/GPS model G2110L collars with SureDrop collar break off mechanisms, or..."
26,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",California's Groundwater Update 2020 (Bulletin 118),"California's Groundwater Update 2020 (Bulletin 118)

California's Groundwater Update 2020 (CalGW) is California's foremost technical publication on groundwater in the state of California. CalGW, formally known as Bulletin 118, is..."
27,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Surface Water - Water Quality Regulated Facility Information,"Surface Water - Water Quality Regulated Facility Information

Information regarding site visits of facilities that discharge wastewater, from the California Integrated Water Quality System (CIWQS)."
28,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Pronghorn Home Range - Mount Dome - 2019-2020 [ds2935],"Pronghorn Home Range - Mount Dome - 2019-2020 [ds2935]

The project lead for the collection of this data was Richard Shinn. Pronghorn (9 adult females) were captured and equipped with GPS collars (Sirtrack, Havelock North, NZ)..."
29,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",The California Energy Commission's Core Responsibilities,"The California Energy Commission's Core Responsibilities

This dataset contains fact sheets which cover the seven core responsibilities of the California Energy Commission."
30,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Western Grebe - Avian Knowledge Network (AKN) [ds237],"Western Grebe - Avian Knowledge Network (AKN) [ds237]

This data set contains basic observation information on Western Grebes in California and is provided by the Avian Knowledge Network (AKN). AKN is a joint venture including..."
